source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc600,e86,1,-1,3,Domestic_Investors_Lift_Market,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,sector;million;index;lost;said;however;added;steel;traded.;section;shares;following;stock;yen;traded;rise;issues;tokyo;average;nikkei,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc706,e86,1,-1,3,Arbitrage_Trading_Crushes_Stocks,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,traders;fell;index;million;said;selling;billion;stocks;section;shares;market;stock;30;matsushita;yen;company;issues;tokyo;bank;securities,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc802,e86,1,-1,3,Consumer_Prices_Rose_0.3%_In_July_on_Higher_Food_C,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,index;said;prices;economists;department's;economy;higher;dow;commerce;rose;jones;sales;food;coming;prices;increase;slow;low;growth;retail,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc852,e86,1,-1,3,Consumer_Prices_Rose_0.1%_In_June__Pleasing_Analys,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,prices.;index;unemployment;said;june;prices;economy;higher;consumer;production;rose;months;level;price;fed;said.;may.;report;prices;output,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc927,e86,1,-1,3,Concerns_About_Rates_and_Iraq_Send_European_Market,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,index;fell;lower;news;street;higher;country's;dow;u.s.;belgian;share;european;market;jones;stock;considering;prices;tuesday;early;world,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc992,e86,1,-1,3,Drug_Stocks_Lead_Rebound,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,dealers;index;traders;said;likely;ft-se;half;oil;12;shares;rose;pence;led;259.5;strong;levels;said.;volume;gains;pence.,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc2,e91,1,-1,4,AnnTaylor_s_Kasaks_Steps_Down_As_Retailer_s_Turmoi,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,swinging;president;said;second;sales.;ms.;anntaylor;retailer;mr.;officer.;8%;new;joined;schreiner;stock;veteran;reduced;schreiner;anntaylor's;chief,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc13,e91,1,-1,4,CBS_Plans_Letterman_Show_Without_Commercial_Breaks,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,show's;program.;causing;president;cbs;advertisers;said;clutter;show;run;program;network;mr.;soler;unit;sponsors;carla;mentions;pepsico;sold,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc16,e91,1,-1,4,Atlanta_Leads_by_Example_In_Forwarding_Civil_Right,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,lombard;games;think;said;yuette;security;guillory;atlanta;city;martine;presence;said.;i;emphasis;games;working;got;want;world;games.,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc23,e91,1,-1,4,Australian__Italian_Athletes_Test_Positive_for_Dru,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,games;athletics;italian;10;australian;international;officials;atlanta;banned;taking;athletes;camp;village;said.;australia;2011;positive;knee;athlete;games.,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc31,e91,1,-1,4,Croats_Arrest_Ex_Bosnian_Soldier_On_Suspected_War_,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,said;croatian;praised;croatia;violates;accord;attache;bosnian;war;mr.;military;army;provisions;arrest;authorities;peace;dayton;crimes;2011;rinehart,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc47,e91,1,-1,4,Beach_Volleyball_Is_More_Than_Sun_and_Sex_Appeal,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,sand;games;said;indoor;tournament.;beach;team;atlanta;u.s.;it's;teams;1980;played;i;men's;best;gold;tuesday;kiraly;women's,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc51,e91,1,-1,4,Davenport_Remains_Red_Hot__Upending_Graf_in_Semifi,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,victory;barlow;games;said;6-3;second;set;career;no.;playing;title;artis;said.;world's;i;service;lot;points;won;hood,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc55,e91,1,-1,4,Death_Toll_Hits_113_as_Storm_Batters_Pilgrims_in_H,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,jammu.;said;officials;state;journey;cave;people;hindu;soldiers;authorities;pilgrims;route;snow;amarnath;2011;left;saturday;government;friday;prevented,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc62,e91,1,-1,4,Balkan_Presidents_Set_Accord_To_Support_Bosnian_El,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,communiqu&eacute;president;chrystal;freedom;thursday;promised;state;bosnian;mr.;voters;refugees;federation;balkan;movement;peace;dayton;bosnia;2011;government;croats,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc67,e91,1,-1,4,Buggy_Cotton_Crops_Cast_Doubt_on_Engineered_Seeds,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,cotton;texas;however;engineered;year;texas;bollgard;delta;acre;planted;monsanto's;seeds.;u.s.;mr.;bt;farmers;i;says;seeds;monsanto,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc77,e91,1,-1,4,ASCAP_May_Abandon_Demands_For_Song_Royalties_from_,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,million;said;singing;royalty;songs;fees;mr.;fee;ascap;guzman;camps;camp;girl;camping;said.;american;scouts;pay;camps;group,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc80,e91,1,-1,4,Codi_Delays_Lawsuits_Under_New_Cuba_Sanctions,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,law;legal;president;sutton;said;cuban;helms-burton;allies;cuba.;lawsuits;companies;property;u.s.;mr.;codi;year;cuba's;foreign;right;sugar,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc83,e91,1,-1,4,Cubs_Win_in_the_12th_Inning_On_an_Error_by_Braves_,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,just;victory;games;series;nestor;iowa;said;walked;inning;cubs;atlanta;race;struck;chicago's;four.;markita;hit;davida;cubs';chicago,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc91,e91,1,-1,4,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,president;prichard;include;said;news;breaking;atlantic;u.s.;mr.;contributing;time;editor;new;level;seven;years.;riverside;began;caryl.;rudy,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
doc97,e91,1,-1,4,Columbia_University_Sued_By_Fired_Economist_Moore,Atlantic_Monthly_s_Fallows_Moves_To_U.S._News___Wo,133,university;fired;audet.;said;supreme;dr.;columbia;appropriately'';connected;inc.;suing;research;mr.;economic;tayna's;missing;institute.;suit;tayna;cornertown,p.m.;introduction;pan;asean;remarks;faa;vastcomm;attendants;simple;a.m.;cotton;boeing;barney's;emergency;web;refugees;monsanto;westside;cable;airbus
